Point X,Point Y,Point Z,Heading,Type,Move
7032.4,-7264.33,0,2.20235,2,1
6998.57,-7227.66,0,2.42962,2,1
6957.35,-7199.56,0,2.6569,2,1
6910.85,-7181.47,0,2.88417,2,1
6861.47,-7174.32,0,3.11144,2,1
6811.75,-7178.48,0,3.33872,2,1
6764.25,-7193.74,0,3.56599,2,1
6763.75,-7193.96,0,3.5685,2,1
6763.75,-7193.96,0,3.5685,2,1
6716.28,-7209.34,0,3.34123,2,1
6666.57,-7213.63,0,3.11396,2,1
6617.18,-7206.6,0,2.88669,2,1
6570.64,-7188.63,0,2.65941,2,1
6529.34,-7160.63,0,2.43214,2,1
6495.42,-7124.04,0,2.20487,2,1
6470.61,-7080.76,0,1.97759,2,1
6456.19,-7032.99,0,1.75032,2,1
6452.9,-6983.21,0,1.52305,2,1
6460.92,-6933.96,0,1.29578,2,1
6479.83,-6887.79,0,1.0685,2,1
6508.65,-6847.07,0,0.84123,2,1
6545.91,-6813.89,0,0.613958,2,1
6589.69,-6789.95,0,0.386685,2,1
6637.73,-6776.5,0,0.159412,2,1
6687.57,-6774.22,0,6.21532,2,1
6699.79,-6775.39,0,6.15951,2,1
6699.79,-6775.39,0,6.15951,2,1
6749.68,-6775.89,0,0.1036,2,1
6798.4,-6765.14,0,0.330873,2,1
6816.41,-6758.05,0,0.418879,2,1
6816.41,-6758.05,0,0.418879,2,1
6953.44,-6697.04,0,0.418879,4,1
20978.8,-452.537,0,0.418879,1,1
21252.9,-330.516,0,0.418879,5,1
21295.9,-305.186,0,0.646152,2,1
21332,-270.821,0,0.873424,2,1
21359.5,-229.191,0,1.1007,2,1
21377,-182.434,0,1.32797,2,1
21383.4,-132.958,0,1.55524,2,1
21378.5,-83.3051,0,1.78252,2,1
21362.5,-36.0301,0,2.00979,2,1
21336.4,6.43573,0,2.23706,2,1
21301.3,41.9084,0,2.46433,2,1
21259.1,68.5636,0,2.69161,2,1
21212,85.0303,0,2.91888,2,1
21162.4,90.4616,0,3.14615,2,1
21149.2,90.005,0,3.2062,2,1
21149.2,90.005,0,3.2062,2,1
21099.3,86.777,0,3.2062,2,1
21049.4,83.549,0,3.2062,2,1
20999.5,80.321,0,3.2062,2,1
20949.6,77.093,0,3.2062,2,1
20899.7,73.865,0,3.2062,2,1
20849.8,70.637,0,3.2062,2,1
20799.9,67.409,0,3.2062,2,1
20750,64.181,0,3.2062,2,1
20700.1,60.953,0,3.2062,2,1
20689,60.229,0,3.2062,2,1
20689,60.229,0,3.2062,2,1
20639.8,51.3831,0,3.43347,2,1
20613.7,41.668,0,3.56047,2,1
20613.7,41.668,0,3.56047,2,1
20476.6,-19.3425,0,3.56047,4,1
-9966.53,-13573.5,0,3.56047,1,1
-10240.6,-13695.5,0,3.56047,5,1
-10288.2,-13710.5,0,3.3332,2,1
-10337.9,-13714.4,0,3.10593,2,1
-10387.3,-13707,0,2.87865,2,1
-10433.7,-13688.6,0,2.65138,2,1
-10449.2,-13679.5,0,2.56943,2,1
-10449.2,-13679.5,0,2.56943,2,1
-10491.2,-13652.4,0,2.56943,2,1
-10533.3,-13625.4,0,2.56943,2,1
-10575.3,-13598.3,0,2.56943,2,1
-10610,-13576,0,2.56943,2,1
-10610,-13576,0,2.56943,2,1
-10648.6,-13544.4,0,2.34216,2,1
-10679.1,-13504.9,0,2.11489,2,1
-10699.9,-13459.5,0,1.88762,2,1
-10710,-13410.7,0,1.66034,2,1
-10708.8,-13360.8,0,1.43307,2,1
-10696.4,-13312.5,0,1.2058,2,1
-10673.4,-13268.2,0,0.978525,2,1
-10641,-13230.2,0,0.751252,2,1
-10600.9,-13200.5,0,0.52398,2,1
-10580.4,-13190,0,0.418879,2,1
-10580.4,-13190,0,0.418879,2,1
-10443.3,-13129,0,0.418879,4,1
19700.4,291.831,0,0.418879,1,1
19974.5,413.852,0,0.418879,5,1
20017.4,439.182,0,0.646152,2,1
20053.6,473.547,0,0.873424,2,1
20081.1,515.178,0,1.1007,2,1
20098.5,561.934,0,1.32797,2,1
20104.9,611.41,0,1.55524,2,1
20100.1,661.063,0,1.78252,2,1
20084.1,708.338,0,2.00979,2,1
20057.9,750.804,0,2.23706,2,1
20022.8,786.277,0,2.46433,2,1
19980.7,812.932,0,2.69161,2,1
19933.6,829.398,0,2.91888,2,1
19884,834.83,0,3.14615,2,1
19870.8,834.373,0,3.2062,2,1
19870.8,834.373,0,3.2062,2,1
19820.9,831.145,0,3.2062,2,1
19771,827.917,0,3.2062,2,1
19721.1,824.689,0,3.2062,2,1
19671.2,821.461,0,3.2062,2,1
19621.3,818.233,0,3.2062,2,1
19571.4,815.005,0,3.2062,2,1
19521.5,811.777,0,3.2062,2,1
